BPUIC1;BPUIC2;DISTANCE
8501020;8516283;2.079
8500188;8500187;2.4814
8501166;8501168;0.9498
8509188;8509189;2.4773
8502219;8502202;4.1441
8504383;8504382;2.0687
8506290;8506280;1.6212
8505493;8505492;0.645
8508302;8508301;2.6119
8504315;8504316;3.6672
8504236;8504237;4.0909
8509170;8509169;3.5579
8506104;8506105;3.7975
8505007;8505006;3.5174
8515994;8502231;1.045
8504218;8504217;5.3458
8503421;8503420;3.2241
8506285;8506284;1.7051
8503307;8503308;3.4585
8503427;8506148;3.5289
8507273;8507272;3.4684
8500218;8500037;3.0195
8508088;8508087;2.1511
8501002;8501003;3.387
8504221;8504222;4.0728
8503052;8503053;0.3007
8505174;8505175;1.3037
8509055;8509054;1.7123
8505410;8505407;2.2913
8504088;8504067;2.6897
8500300;8517131;1.4031
8502306;8502202;4.1448
8508316;8508317;1.6178
8503096;8503099;1.0014
8504139;8504181;1.8226
8508102;8508103;6.0211
8507478;8507480;4.9971
8501422;8501421;1.8507
8501677;8515296;3.0383
8503302;8503303;3.5579
8504073;8504074;1.9325
8506127;8506119;1.3337
8506001;8516218;1.3934
8506021;8506022;1.8689
8502247;8502105;3.423
8500141;8500127;1.8656
8504200;8504130;8.3548
8503527;8503525;2.5397
8504386;8530011;0.9719
8506178;8506206;3.5378
8503120;8503110;1.7072
8508085;8508084;2.1758
8506193;8506105;5.1429
8501476;8517485;0.9651
8503286;8503285;2.4449
8500275;8500283;0.5467
8506124;8506123;2.4
8501171;8587727;1.2695
8505174;8505173;2.972
8502106;8502105;1.744
8508206;8508207;3.3756
8501600;8501509;4.1204
8504314;8504381;0.6043
8503200;8503201;2.0051
8530064;8530066;0.2979
8505590;8505599;5.3181
8509067;8509068;1.6419
8501265;8501264;0.4588
8530334;8501564;1.0658
8501472;8501471;1.5573
8507281;8507291;2.723
8503413;8503415;4.3456
8501008;8501026;5.9182
8506205;8506204;3.1121
8501287;8501288;0.5581
8506025;8503429;3.7586
8517112;8502231;4.843
8504511;8530713;0.3564
8508263;8508262;2.0147
8504027;8504028;2.1553
8501609;8501952;20.9998
8502179;8502195;0.4792
8506133;8506134;2.6741
8501014;8501013;1.448
8508215;8516354;1.3773
8502275;8502268;0.5781
8508399;8508396;6.1242
8508184;8508183;1.4456
8501045;8501118;3.8683
8509061;8509060;3.5204
8501202;8501203;1.5685
8508056;8504410;2.3055
8509354;8509353;2.3203
8506395;8506396;2.2351
8500218;8500217;1.3358
8503102;8503101;1.7347
8509075;8509076;2.7648
8508155;8508157;2.7369
8503425;8503426;1.5976
8507288;8507299;1.0138
8503423;8506039;1.3451
8506213;8506212;4.3276
8501191;8530262;0.4456
8507472;8507471;2.9121
8503504;8503505;2.1948
8502174;8502184;1.5419
8506181;8506206;2.5741
8505400;8505417;1.4555
8500031;8500026;2.5961
8501031;8501030;4.7382
8507000;8508051;2.2209
8506011;8506010;3.6148
8506319;8509400;5.8567
8500136;8500119;2.8119
8503310;8503311;3.2914
8508057;8508058;0.9596
8500020;8500021;3.4994
8506297;8506200;4.7608
8500104;8500105;6.3542
8506317;8506318;3.6422
8506118;8506132;1.8865
8505304;8505303;3.5833
8501266;8501265;0.75
8503223;8503222;3.3706
8516272;8516273;1.464
8505305;8517519;3.4493
8509069;8509070;2.502
8502163;8502162;1.0887
8500034;8500033;1.926
8507378;8507560;1.6827
8504510;8530710;1.3721
8505306;8505307;2.6318
8506400;8506278;0.4171
8504414;8518749;0.847
8509187;8509186;3.7771
8506133;8506118;1.9686
8508311;8508310;3.2453
8530260;8504391;1.0373
8501671;8501670;3.9079
8500010;8500016;4.3916
8593775;8593776;0.7501
8508154;8508155;1.7632
8505406;8505407;3.5738
8508292;8508293;1.8029
8501482;8501483;0.1931
8506309;8506121;2.4096
8506305;8506322;1.7236
8502031;8502030;2.3717
8508162;8508173;0.5224
8501493;8501727;0.6503
8500322;8500320;8.7019
8501110;8501111;3.0255
8507299;8507483;2.3424
8501263;8501262;0.4178
8503137;8503138;4.9164
8503289;8503295;2.0369
8504291;8504292;0.7273
8501122;8501121;2.567
8503200;8503009;2.8297
8502180;8502194;1.4822
8504064;8504063;1.583
8500292;8500293;0.6229
8501304;8501303;4.4994
8504106;8504108;1.1156
8508005;8508083;1.1484
8502160;8502184;0.814
8503129;8503006;3.6445
8508174;8508182;0.9276
8501510;8501506;4.3629
8509418;8503225;9.005
8505499;8505589;4.6686
8500309;8500305;20.5742
8595245;8530712;1.0747
8506209;8506210;5.1988
8506016;8506000;2.8813
8503136;8503135;2.5269
8506183;8506168;1.5105
8508312;8508311;2.5983
8515993;8515992;0.598
8501688;8501689;5.2528
8530355;8501461;0.6759
8506276;8506382;1.1849
8504003;8504011;2.5343
8504228;8504229;3.977
8500195;8500194;3.2115
8500022;8500021;3.8618
8502226;8502227;3.0055
8506181;8506188;0.7194
8500121;8500120;2.2391
8505473;8505467;2.0085
8505473;8505491;0.8153
8504305;8504306;2.8978
8502204;8502300;0.6206
8508181;8508182;1.8729
8504392;8504391;1.6953
8500205;8500204;4.0096
8530711;8504325;0.3956
8506216;8506217;2.1094
8503423;8518924;1.0755
8503224;8503225;2.9168
8504060;8504014;2.2329
8501199;8501481;0.9501
8509181;8509180;2.414
8506302;8506303;2.3367
8509055;8509056;0.8712
8530712;8504325;0.5807
8504013;8504012;2.2227
8502119;8502043;4.2983
8502025;8516353;0.5654
8501500;8501405;4.9868
8501284;8501283;0.2409
8518690;8500212;0.8732
8506049;8506039;1.1837
8505113;8505112;2.9496
8505395;8505390;1.4277
8505177;8505178;3.0674
8506311;8506322;1.2216
8503091;8503087;0.5354
8502179;8502178;0.5702
8504206;8504208;3.9742
8501098;8501088;1.669
8502033;8502032;3.335
8509077;8509078;4.0697
8501475;8517485;1.2199
8501506;8501507;5.7214
8507278;8507279;1.4923
